County,Reason,Proportion
Migori,No mosquitoes/malaria,0.9
Migori,Extra net/saving for later,71.9
Migori,Net too small,0.3
Migori,Net brought bedbugs,0.0
Migori,Other,4.6
Kisii,Too hot,0.8
Kisii,Don't like net,0.0
Kisii,Don't like smell,2.2
Kisii,Unable to hang net,1.2
Kisii,Slept outdoors,0.4
Kisii,User didn't sleep in household,13.3
Kisii,No mosquitoes/malaria,2.1
Kisii,Extra net/saving for later,77.7
Kisii,Net too small,0.0
Kisii,Net brought bedbugs,0.0
Kisii,Other,2.3
Nyamira,Too hot,0.2
Nyamira,Don't like net,0.2
Nyamira,Don't like smell,0.0
Nyamira,Unable to hang net,1.8
Nyamira,Slept outdoors,0.3
Nyamira,User didn't sleep in household,17.7
Nyamira,No mosquitoes/malaria,1.0
Nyamira,Extra net/saving for later,74.4
Nyamira,Net too small,0.3
Nyamira,Net brought bedbugs,0.0
Nyamira,Other,4.0
Nairobi,Too hot,8.6
Nairobi,Don't like net,0.0
Nairobi,Don't like smell,0.6
Nairobi,Unable to hang net,14.6
Nairobi,Slept outdoors,1.3
Nairobi,User didn't sleep in household,17.2
Nairobi,No mosquitoes/malaria,24.2
Nairobi,Extra net/saving for later,24.3
Nairobi,Net too small,0.0
Nairobi,Net brought bedbugs,0.0
Nairobi,Other,9.2
