County,Category,Proportion
Kiambu,Put/rinsed into toilet,54.0
Kiambu,Buried,0.0
Kiambu,Put/rinsed into drain/ditch,3.6
Kiambu,Thrown into garbage,41.4
Kiambu,Left in the open,0.0
Kiambu,Other,1.0
Turkana,Stool disposed of appropriately,100.0
Turkana,Child used toilet,0.4
Turkana,Put/rinsed into toilet,14.1
Turkana,Buried,26.0
Turkana,Put/rinsed into drain/ditch,0.0
Turkana,Thrown into garbage,35.2
Turkana,Left in the open,22.6
Turkana,Other,1.7
West Pokot,Stool disposed of appropriately,100.0
West Pokot,Child used toilet,0.8
West Pokot,Put/rinsed into toilet,68.9
West Pokot,Buried,16.8
West Pokot,Put/rinsed into drain/ditch,5.3
West Pokot,Thrown into garbage,6.1
West Pokot,Left in the open,2.2
West Pokot,Other,0.0
Samburu,Stool disposed of appropriately,100.0
Samburu,Child used toilet,0.0
Samburu,Put/rinsed into toilet,29.4
Samburu,Buried,1.3
Samburu,Put/rinsed into drain/ditch,23.3
Samburu,Thrown into garbage,27.8
Samburu,Left in the open,17.7
Samburu,Other,0.5
Trans Nzoia,Stool disposed of appropriately,100.0
Trans Nzoia,Child used toilet,2.0
Trans Nzoia,Put/rinsed into toilet,72.5
Trans Nzoia,Buried,3.4
Trans Nzoia,Put/rinsed into drain/ditch,14.3
Trans Nzoia,Thrown into garbage,6.2
Trans Nzoia,Left in the open,1.6
Trans Nzoia,Other,0.0
Uasin Gishu,Stool disposed of appropriately,100.0
Uasin Gishu,Child used toilet,1.8
Uasin Gishu,Put/rinsed into toilet,55.7
Uasin Gishu,Buried,0.0
Uasin Gishu,Put/rinsed into drain/ditch,13.3
Uasin Gishu,Thrown into garbage,26.8
Uasin Gishu,Left in the open,2.4
Uasin Gishu,Other,0.0
Elgeyo-Marakwet,Stool disposed of appropriately,100.0
Elgeyo-Marakwet,Child used toilet,0.0
Elgeyo-Marakwet,Put/rinsed into toilet,83.6
Elgeyo-Marakwet,Buried,0.0
Elgeyo-Marakwet,Put/rinsed into drain/ditch,10.7
Elgeyo-Marakwet,Thrown into garbage,5.7
Elgeyo-Marakwet,Left in the open,0.0
Elgeyo-Marakwet,Other,0.0
Nandi,Stool disposed of appropriately,100.0
Nandi,Child used toilet,0.0
Nandi,Put/rinsed into toilet,91.9
Nandi,Buried,0.0
Nandi,Put/rinsed into drain/ditch,4.0
Nandi,Thrown into garbage,2.5
Nandi,Left in the open,1.7
Nandi,Other,0.0
Baringo,Stool disposed of appropriately,100.0
Baringo,Child used toilet,0.6
Baringo,Put/rinsed into toilet,51.1
Baringo,Buried,2.4
Baringo,Put/rinsed into drain/ditch,20.6
Baringo,Thrown into garbage,8.1
Baringo,Left in the open,14.6
Baringo,Other,2.5
Laikipia,Stool disposed of appropriately,100.0
Laikipia,Child used toilet,8.4
Laikipia,Put/rinsed into toilet,59.5
Laikipia,Buried,4.2
Laikipia,Put/rinsed into drain/ditch,4.3
Laikipia,Thrown into garbage,21.7
Laikipia,Left in the open,1.9
Laikipia,Other,0.0
Nakuru,Stool disposed of appropriately,100.0
Nakuru,Child used toilet,1.2
Nakuru,Put/rinsed into toilet,76.6
Nakuru,Buried,0.0
Nakuru,Put/rinsed into drain/ditch,3.8
Nakuru,Thrown into garbage,11.2
Nakuru,Left in the open,7.1
Nakuru,Other,0.0
Narok,Stool disposed of appropriately,100.0
Narok,Child used toilet,0.0
Narok,Put/rinsed into toilet,40.1
Narok,Buried,1.0
Narok,Put/rinsed into drain/ditch,31.0
Narok,Thrown into garbage,2.1
Narok,Left in the open,23.6
Narok,Other,2.1
Kajiado,Stool disposed of appropriately,100.0
Kajiado,Child used toilet,0.0
Kajiado,Put/rinsed into toilet,39.3
Kajiado,Buried,2.3
Kajiado,Put/rinsed into drain/ditch,4.0
Kajiado,Thrown into garbage,31.0
Kajiado,Left in the open,23.4
Kajiado,Other,0.0
Kericho,Stool disposed of appropriately,100.0
Kericho,Child used toilet,1.3
Kericho,Put/rinsed into toilet,98.4
Kericho,Buried,0.0
Kericho,Put/rinsed into drain/ditch,0.0
Kericho,Thrown into garbage,0.4
Kericho,Left in the open,0.0
Kericho,Other,0.0
Bomet,Stool disposed of appropriately,100.0
Bomet,Child used toilet,0.0
Bomet,Put/rinsed into toilet,76.5
Bomet,Buried,0.0
Bomet,Put/rinsed into drain/ditch,20.7
Bomet,Thrown into garbage,1.4
Bomet,Left in the open,1.4
Bomet,Other,0.0
Kakamega,Stool disposed of appropriately,100.0
Kakamega,Child used toilet,0.0
Kakamega,Put/rinsed into toilet,90.3
Kakamega,Buried,0.0
Kakamega,Put/rinsed into drain/ditch,5.9
Kakamega,Thrown into garbage,3.1
Kakamega,Left in the open,0.0
Kakamega,Other,0.7
Vihiga,Stool disposed of appropriately,100.0
Vihiga,Child used toilet,0.0
Vihiga,Put/rinsed into toilet,95.0
Vihiga,Buried,0.0
Vihiga,Put/rinsed into drain/ditch,3.9
Vihiga,Thrown into garbage,1.1
Vihiga,Left in the open,0.0
Vihiga,Other,0.0
Bungoma,Stool disposed of appropriately,100.0
Bungoma,Child used toilet,0.0
Bungoma,Put/rinsed into toilet,90.6
Bungoma,Buried,0.0
Bungoma,Put/rinsed into drain/ditch,6.6
Bungoma,Thrown into garbage,2.8
Bungoma,Left in the open,0.0
Bungoma,Other,0.0
Busia,Stool disposed of appropriately,100.0
Busia,Child used toilet,0.0
Busia,Put/rinsed into toilet,97.9
Busia,Buried,0.0
Busia,Put/rinsed into drain/ditch,1.3
Busia,Thrown into garbage,0.9
Busia,Left in the open,0.0
Busia,Other,0.0
Siaya,Stool disposed of appropriately,100.0
Siaya,Child used toilet,0.0
Siaya,Put/rinsed into toilet,67.2
Siaya,Buried,2.2
Siaya,Put/rinsed into drain/ditch,21.4
Siaya,Thrown into garbage,4.4
Siaya,Left in the open,4.7
Siaya,Other,0.0
Kisumu,Stool disposed of appropriately,100.0
Kisumu,Child used toilet,1.0
Kisumu,Put/rinsed into toilet,85.9
Kisumu,Buried,0.0
Kisumu,Put/rinsed into drain/ditch,0.0
Kisumu,Thrown into garbage,13.1
Kisumu,Left in the open,0.0
Kisumu,Other,0.0
Homa Bay,Stool disposed of appropriately,100.0
Homa Bay,Child used toilet,1.3
Homa Bay,Put/rinsed into toilet,74.6
Homa Bay,Buried,4.5
Homa Bay,Put/rinsed into drain/ditch,2.5
Homa Bay,Thrown into garbage,13.3
Homa Bay,Left in the open,2.1
Homa Bay,Other,1.5
Migori,Stool disposed of appropriately,100.0
Migori,Child used toilet,0.7
Migori,Put/rinsed into toilet,73.6
Migori,Buried,1.9
Migori,Put/rinsed into drain/ditch,15.5
Migori,Thrown into garbage,4.7
Migori,Left in the open,2.5
Migori,Other,1.2
Kisii,Stool disposed of appropriately,100.0
Kisii,Child used toilet,1.2
Kisii,Put/rinsed into toilet,98.8
Kisii,Buried,0.0
Kisii,Put/rinsed into drain/ditch,0.0
Kisii,Thrown into garbage,0.0
Kisii,Left in the open,0.0
Kisii,Other,0.0
Nyamira,Stool disposed of appropriately,100.0
Nyamira,Child used toilet,0.0
Nyamira,Put/rinsed into toilet,98.0
Nyamira,Buried,0.0
Nyamira,Put/rinsed into drain/ditch,2.0
Nyamira,Thrown into garbage,0.0
Nyamira,Left in the open,0.0
Nyamira,Other,0.0
Nairobi,Stool disposed of appropriately,100.0
Nairobi,Child used toilet,0.0
Nairobi,Put/rinsed into toilet,15.2
Nairobi,Buried,0.0
Nairobi,Put/rinsed into drain/ditch,1.8
Nairobi,Thrown into garbage,83.0
Nairobi,Left in the open,0.0
Nairobi,Other,0.0
