County,Category,Proportion
Uasin Gishu,Boil,42.7
Uasin Gishu,Bleach/chlorine,18.7
Uasin Gishu,Strain through cloth,1.3
Uasin Gishu,Ceramic/sand/other filter,0.9
Uasin Gishu,Solar disinfection,0.0
Uasin Gishu,Stand & settle,0.4
Uasin Gishu,Cover container,10.5
Uasin Gishu,Other,0.3
Uasin Gishu,Don't know,0.0
Uasin Gishu,No treatment,41.0
Elgeyo-Marakwet,Use appropriate treatment method,28.9
Elgeyo-Marakwet,Boil,26.4
Elgeyo-Marakwet,Bleach/chlorine,2.8
Elgeyo-Marakwet,Strain through cloth,0.3
Elgeyo-Marakwet,Ceramic/sand/other filter,0.5
Elgeyo-Marakwet,Solar disinfection,0.0
Elgeyo-Marakwet,Stand & settle,0.6
Elgeyo-Marakwet,Cover container,0.2
Elgeyo-Marakwet,Other,0.0
Elgeyo-Marakwet,Don't know,0.0
Elgeyo-Marakwet,No treatment,70.3
Nandi,Use appropriate treatment method,46.3
Nandi,Boil,38.9
Nandi,Bleach/chlorine,8.5
Nandi,Strain through cloth,2.3
Nandi,Ceramic/sand/other filter,0.2
Nandi,Solar disinfection,0.0
Nandi,Stand & settle,3.2
Nandi,Cover container,3.2
Nandi,Other,0.0
Nandi,Don't know,0.0
Nandi,No treatment,52.7
Baringo,Use appropriate treatment method,32.7
Baringo,Boil,27.6
Baringo,Bleach/chlorine,6.1
Baringo,Strain through cloth,0.2
Baringo,Ceramic/sand/other filter,0.3
Baringo,Solar disinfection,0.0
Baringo,Stand & settle,0.8
Baringo,Cover container,0.5
Baringo,Other,0.0
Baringo,Don't know,0.0
Baringo,No treatment,67.0
Laikipia,Use appropriate treatment method,35.9
Laikipia,Boil,31.3
Laikipia,Bleach/chlorine,6.1
Laikipia,Strain through cloth,0.0
Laikipia,Ceramic/sand/other filter,0.2
Laikipia,Solar disinfection,0.0
Laikipia,Stand & settle,0.5
Laikipia,Cover container,0.0
Laikipia,Other,0.3
Laikipia,Don't know,0.0
Laikipia,No treatment,63.3
Nakuru,Use appropriate treatment method,35.7
Nakuru,Boil,26.3
Nakuru,Bleach/chlorine,8.6
Nakuru,Strain through cloth,0.6
Nakuru,Ceramic/sand/other filter,5.5
Nakuru,Solar disinfection,0.0
Nakuru,Stand & settle,0.7
Nakuru,Cover container,0.2
Nakuru,Other,0.0
Nakuru,Don't know,0.1
Nakuru,No treatment,63.7
Narok,Use appropriate treatment method,26.7
Narok,Boil,16.8
Narok,Bleach/chlorine,11.3
Narok,Strain through cloth,0.1
Narok,Ceramic/sand/other filter,0.6
Narok,Solar disinfection,0.3
Narok,Stand & settle,0.0
Narok,Cover container,5.1
Narok,Other,0.0
Narok,Don't know,0.2
Narok,No treatment,68.7
Kajiado,Use appropriate treatment method,30.0
Kajiado,Boil,19.1
Kajiado,Bleach/chlorine,12.9
Kajiado,Strain through cloth,1.0
Kajiado,Ceramic/sand/other filter,2.8
Kajiado,Solar disinfection,0.0
Kajiado,Stand & settle,0.1
Kajiado,Cover container,0.0
Kajiado,Other,0.0
Kajiado,Don't know,0.0
Kajiado,No treatment,69.8
Kericho,Use appropriate treatment method,15.8
Kericho,Boil,10.3
Kericho,Bleach/chlorine,2.8
Kericho,Strain through cloth,0.0
Kericho,Ceramic/sand/other filter,2.9
Kericho,Solar disinfection,0.0
Kericho,Stand & settle,0.0
Kericho,Cover container,5.7
Kericho,Other,0.1
Kericho,Don't know,0.1
Kericho,No treatment,79.7
Bomet,Use appropriate treatment method,25.7
Bomet,Boil,17.2
Bomet,Bleach/chlorine,5.8
Bomet,Strain through cloth,0.1
Bomet,Ceramic/sand/other filter,3.5
Bomet,Solar disinfection,0.0
Bomet,Stand & settle,0.9
Bomet,Cover container,1.8
Bomet,Other,0.2
Bomet,Don't know,0.0
Bomet,No treatment,72.3
Kakamega,Use appropriate treatment method,41.6
Kakamega,Boil,13.7
Kakamega,Bleach/chlorine,30.1
Kakamega,Strain through cloth,2.0
Kakamega,Ceramic/sand/other filter,1.9
Kakamega,Solar disinfection,0.0
Kakamega,Stand & settle,1.6
Kakamega,Cover container,0.8
Kakamega,Other,0.2
Kakamega,Don't know,0.0
Kakamega,No treatment,55.4
Vihiga,Use appropriate treatment method,40.8
Vihiga,Boil,16.5
Vihiga,Bleach/chlorine,26.5
Vihiga,Strain through cloth,2.3
Vihiga,Ceramic/sand/other filter,2.4
Vihiga,Solar disinfection,0.1
Vihiga,Stand & settle,7.9
Vihiga,Cover container,5.2
Vihiga,Other,0.1
Vihiga,Don't know,0.0
Vihiga,No treatment,51.6
Bungoma,Use appropriate treatment method,41.7
Bungoma,Boil,11.7
Bungoma,Bleach/chlorine,30.6
Bungoma,Strain through cloth,5.3
Bungoma,Ceramic/sand/other filter,2.7
Bungoma,Solar disinfection,0.0
Bungoma,Stand & settle,2.9
Bungoma,Cover container,2.6
Bungoma,Other,0.0
Bungoma,Don't know,0.0
Bungoma,No treatment,52.6
Busia,Use appropriate treatment method,63.8
Busia,Boil,12.4
Busia,Bleach/chlorine,56.5
Busia,Strain through cloth,5.8
Busia,Ceramic/sand/other filter,0.9
Busia,Solar disinfection,0.1
Busia,Stand & settle,0.9
Busia,Cover container,0.8
Busia,Other,0.2
Busia,Don't know,0.0
Busia,No treatment,33.0
Siaya,Use appropriate treatment method,62.5
Siaya,Boil,17.6
Siaya,Bleach/chlorine,53.1
Siaya,Strain through cloth,2.1
Siaya,Ceramic/sand/other filter,0.1
Siaya,Solar disinfection,0.5
Siaya,Stand & settle,0.2
Siaya,Cover container,1.9
Siaya,Other,0.0
Siaya,Don't know,0.0
